GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033027800,53033027800,"Census Tract 278, King County, Washington",1401,77,1260,89,141,57
1400000US53033027900,53033027900,"Census Tract 279, King County, Washington",3183,177,1426,228,1757,237
1400000US53033028000,53033028000,"Census Tract 280, King County, Washington",1557,81,215,55,1342,89
1400000US53033028100,53033028100,"Census Tract 281, King County, Washington",829,40,297,46,532,55
1400000US53033028200,53033028200,"Census Tract 282, King County, Washington",1863,114,514,93,1349,135
1400000US53033028300,53033028300,"Census Tract 283, King County, Washington",1925,101,1433,150,492,139
1400000US53033028402,53033028402,"Census Tract 284.02, King County, Washington",1774,96,730,95,1044,113
1400000US53033028403,53033028403,"Census Tract 284.03, King County, Washington",2290,110,1036,183,1254,207
1400000US53033028500,53033028500,"Census Tract 285, King County, Washington",1631,92,844,104,787,114
1400000US53033028600,53033028600,"Census Tract 286, King County, Washington",2719,187,1934,154,785,176
1400000US53033028700,53033028700,"Census Tract 287, King County, Washington",1844,112,1506,134,338,101
1400000US53033028801,53033028801,"Census Tract 288.01, King County, Washington",730,51,398,45,332,53
1400000US53033028802,53033028802,"Census Tract 288.02, King County, Washington",2339,119,771,120,1568,155
1400000US53033028901,53033028901,"Census Tract 289.01, King County, Washington",1604,98,873,112,731,118
1400000US53033028902,53033028902,"Census Tract 289.02, King County, Washington",2420,189,804,148,1616,203
1400000US53033029001,53033029001,"Census Tract 290.01, King County, Washington",2002,112,1467,144,535,114
1400000US53033029003,53033029003,"Census Tract 290.03, King County, Washington",1984,152,765,129,1219,172
1400000US53033029004,53033029004,"Census Tract 290.04, King County, Washington",1314,73,444,70,870,101
1400000US53033029101,53033029101,"Census Tract 291.01, King County, Washington",1196,61,887,86,309,80
1400000US53033029102,53033029102,"Census Tract 291.02, King County, Washington",1388,97,1014,112,374,103
1400000US53033029203,53033029203,"Census Tract 292.03, King County, Washington",1279,75,246,77,1033,109
1400000US53033029204,53033029204,"Census Tract 292.04, King County, Washington",2554,94,1099,146,1455,157
1400000US53033029205,53033029205,"Census Tract 292.05, King County, Washington",2129,95,1284,126,845,149
1400000US53033029206,53033029206,"Census Tract 292.06, King County, Washington",1991,98,294,98,1697,122
1400000US53033029303,53033029303,"Census Tract 293.03, King County, Washington",2950,152,1667,194,1283,176
1400000US53033029304,53033029304,"Census Tract 293.04, King County, Washington",1904,74,1435,99,469,86
1400000US53033029305,53033029305,"Census Tract 293.05, King County, Washington",1332,105,1084,104,248,89
1400000US53033029306,53033029306,"Census Tract 293.06, King County, Washington",1285,74,974,115,311,91
1400000US53033029307,53033029307,"Census Tract 293.07, King County, Washington",1312,65,1082,96,230,83
1400000US53033029403,53033029403,"Census Tract 294.03, King County, Washington",1933,90,1294,93,639,104
1400000US53033029405,53033029405,"Census Tract 294.05, King County, Washington",1767,68,1528,87,239,84
1400000US53033029406,53033029406,"Census Tract 294.06, King County, Washington",1609,68,1164,109,445,110
1400000US53033029407,53033029407,"Census Tract 294.07, King County, Washington",1632,59,799,101,833,96
1400000US53033029408,53033029408,"Census Tract 294.08, King County, Washington",1617,75,764,107,853,118
1400000US53033029502,53033029502,"Census Tract 295.02, King County, Washington",2138,111,1776,162,362,133
1400000US53033029503,53033029503,"Census Tract 295.03, King County, Washington",2921,157,685,136,2236,201
